AssetID,AssetCode,FundID,FundCode,AssetName,AssetType,InvestmentType,Sector,SubSector,Region,Country,Currency,EntryDate,EntryDateKey,EntryFXRateToCHF,EntryCost,EntryCostCHF,ReservedFollowOn,ExitDate,ExitDateKey,RealizationStatus,GrossMOICTarget2025,ESGTheme,SponsorType
1,AB1-ATC,1,AB1,Atlas Components,Company,Control Equity,Industrial Components,Precision Manufacturing,Europe,Germany,EUR,42460,20160331,1.088111,123906000,134823482,4956000,44926,20221231,Realized,1.77,Operational Excellence,Direct
2,AB1-NTS,1,AB1,NordTech Services,Company,Control Equity,Business Services,Testing & Inspection,Europe,Sweden,EUR,42551,20160630,1.075642,111013000,119410245,4441000,45291,20231231,Realized,1.87,Health & Safety,Sponsor-Backed
3,AB1-IBP,1,AB1,Iberia Packaging,Company,Control Equity,Packaging,Sustainable Packaging,Europe,Spain,EUR,42735,20161231,1.074557,91170000,97967362,3647000,45657,20241231,Realized,1.8,Circular Economy,Direct
4,AB1-ATL,1,AB1,Alpine Testing Labs,Company,Control Equity,Business Services,Laboratory Services,Europe,Switzerland,EUR,42916,20170630,1.109774,66532000,73835484,2661000,,,Partially Realized,1.77,Quality Infrastructure,Direct
5,AB1-BSS,1,AB1,Benelux Safety Solutions,Company,Control Equity,Industrial Services,Workplace Safety,Europe,Netherlands,EUR,43100,20171231,1.164633,52107000,60685532,2084000,,,Partially Realized,1.75,Health & Safety,Sponsor-Backed
6,AB1-RHG,1,AB1,Rhone HVAC Group,Company,Control Equity,Building Services,HVAC Services,Europe,France,EUR,43373,20180930,1.134509,78202000,88720873,3128000,,,Partially Realized,1.93,Energy Efficiency,Direct
7,BG2-NDC,2,BG2,Nimbus Data Cloud,Company,Growth Equity,Software,Cloud Infrastructure,North America,United States,USD,43555,20190331,0.98317,76747000,75455348,6140000,,,Partially Realized,1.95,Digital Transformation,Direct
8,BG2-PCA,2,BG2,Pulse Cyber Analytics,Company,Growth Equity,Cybersecurity,Threat Intelligence,North America,United States,USD,43738,20190930,0.977067,59663000,58294748,4773000,,,Partially Realized,1.74,Cyber Resilience,Direct
9,BG2-HHT,2,BG2,Horizon HR Tech,Company,Growth Equity,Software,HR Tech,North America,Canada,USD,43921,20200331,0.948369,42641000,40439403,3411000,,,Partially Realized,1.82,Future of Work,Direct
10,BG2-VHS,2,BG2,Vertex Health Software,Company,Growth Equity,Healthcare IT,Provider Software,North America,United States,USD,44104,20200930,0.91224,30541000,27860722,2443000,,,Partially Realized,1.81,Access to Care,Direct
