AssetSnapshotID,AssetID,AssetCode,FundID,FundCode,ValuationDate,ValuationDateKey,QuarterEnd,AssetStatus,CumulativeInvested,CumulativeInvestedCHF,CumulativeProceeds,CumulativeProceedsCHF,FairValue,FairValueCHF,Currency,FXRateToCHF,GrossMOIC
1,1,AB1-ATC,1,AB1,42460,20160331,2016 Q1,Active,96647000,105162664,0,0,92781000,100956027,EUR,1.088111,0.96
2,1,AB1-ATC,1,AB1,42551,20160630,2016 Q2,Active,123906000,134483589,0,0,118950000,127947616,EUR,1.075642,0.96
3,1,AB1-ATC,1,AB1,42643,20160930,2016 Q3,Active,123906000,134483589,0,0,128791000,138079278,EUR,1.072119,1.039
4,1,AB1-ATC,1,AB1,42735,20161231,2016 Q4,Active,123906000,134483589,0,0,136154000,146305234,EUR,1.074557,1.099
5,1,AB1-ATC,1,AB1,42825,20170331,2017 Q1,Active,123906000,134483589,0,0,143516000,157149015,EUR,1.094993,1.158
6,1,AB1-ATC,1,AB1,42916,20170630,2017 Q2,Active,123906000,134483589,0,0,150879000,167441591,EUR,1.109774,1.218
7,1,AB1-ATC,1,AB1,43008,20170930,2017 Q3,Active,123906000,134483589,0,0,158242000,179436142,EUR,1.133935,1.277
8,1,AB1-ATC,1,AB1,43100,20171231,2017 Q4,Active,123906000,134483589,0,0,165605000,192869048,EUR,1.164633,1.337
9,1,AB1-ATC,1,AB1,43190,20180331,2018 Q1,Active,123906000,134483589,0,0,172968000,199934230,EUR,1.155903,1.396
10,1,AB1-ATC,1,AB1,43281,20180630,2018 Q2,Active,123906000,134483589,0,0,180331000,205661915,EUR,1.140469,1.455
11,1,AB1-ATC,1,AB1,43373,20180930,2018 Q3,Partially Realized,123906000,134483589,145000,164504,187694000,212940532,EUR,1.134509,1.516
12,1,AB1-ATC,1,AB1,43465,20181231,2018 Q4,Partially Realized,123906000,134483589,301000,341539,195056000,221356766,EUR,1.134837,1.577
13,1,AB1-ATC,1,AB1,43555,20190331,2019 Q1,Partially Realized,123906000,134483589,468000,529142,202419000,227392242,EUR,1.123374,1.637
14,1,AB1-ATC,1,AB1,43646,20190630,2019 Q2,Partially Realized,123906000,134483589,647000,727059,209782000,231952181,EUR,1.105682,1.698
15,1,AB1-ATC,1,AB1,43738,20190930,2019 Q3,Partially Realized,123906000,134483589,837000,935519,217145000,238242808,EUR,1.09716,1.759
16,1,AB1-ATC,1,AB1,43830,20191231,2019 Q4,Partially Realized,123906000,134483589,1038000,1155553,200442000,219423056,EUR,1.094696,1.626
17,1,AB1-ATC,1,AB1,43921,20200331,2020 Q1,Partially Realized,123906000,134483589,1251000,1387829,183738000,200366105,EUR,1.090499,1.493
18,1,AB1-ATC,1,AB1,44012,20200630,2020 Q2,Partially Realized,123906000,134483589,1475000,1629864,167035000,180483823,EUR,1.080515,1.36
19,1,AB1-ATC,1,AB1,44104,20200930,2020 Q3,Partially Realized,123906000,134483589,1710000,1883578,150331000,162302760,EUR,1.079636,1.227
20,1,AB1-ATC,1,AB1,44196,20201231,2020 Q4,Partially Realized,123906000,134483589,1957000,2151479,133628000,144935735,EUR,1.084621,1.094
21,1,AB1-ATC,1,AB1,44286,20210331,2021 Q1,Partially Realized,123906000,134483589,2215000,2428354,116924000,125477809,EUR,1.073157,0.962
22,1,AB1-ATC,1,AB1,44377,20210630,2021 Q2,Partially Realized,123906000,134483589,2484000,2712374,100221000,105817140,EUR,1.055838,0.829
23,1,AB1-ATC,1,AB1,44469,20210930,2021 Q3,Partially Realized,123906000,134483589,2765000,3006686,83517000,87473534,EUR,1.047374,0.696
24,1,AB1-ATC,1,AB1,44561,20211231,2021 Q4,Partially Realized,123906000,134483589,3057000,3311690,66814000,69789428,EUR,1.044533,0.564
25,1,AB1-ATC,1,AB1,44651,20220331,2022 Q1,Partially Realized,123906000,134483589,3360000,3623963,50110000,51643516,EUR,1.030603,0.432
26,1,AB1-ATC,1,AB1,44742,20220630,2022 Q2,Partially Realized,123906000,134483589,3675000,3942458,33407000,33777617,EUR,1.011094,0.299
27,1,AB1-ATC,1,AB1,44834,20220930,2022 Q3,Partially Realized,123906000,134483589,46996000,47265581,16703000,16703818,EUR,1.000049,0.514
