CashflowID,CashflowRef,FundID,FundCode,AssetID,AssetCode,Date,DateKey,NoticeDate,NoticeDateKey,DueDate,DueDateKey,Type,CashflowCategory,Amount,Currency,FXRateToCHF,AmountCHF,Quarter,Status,BatchID
1,CF-AB1-20160331-EXP,1,AB1,,,42460,20160331,42445,20160316,42460,20160331,CALL,Fund Expense,-406000,EUR,1.088111,-441773,2016 Q1,Settled,AB1-2016Q1
2,CF-AB1-20160331-0001,1,AB1,1,AB1-ATC,42460,20160331,42445,20160316,42460,20160331,CALL,Investment,-96647000,EUR,1.088111,-105162664,2016 Q1,Settled,AB1-2016Q1
3,CF-AB1-20160331-FEE,1,AB1,,,42460,20160331,42445,20160316,42460,20160331,CALL,Management Fee,-2844000,EUR,1.088111,-3094588,2016 Q1,Settled,AB1-2016Q1
4,CF-AB1-20160630-0002,1,AB1,1,AB1-ATC,42551,20160630,42536,20160615,42551,20160630,CALL,Follow-on Investment,-27259000,EUR,1.075642,-29320925,2016 Q2,Settled,AB1-2016Q2
5,CF-AB1-20160630-EXP,1,AB1,,,42551,20160630,42536,20160615,42551,20160630,CALL,Fund Expense,-406000,EUR,1.075642,-436711,2016 Q2,Settled,AB1-2016Q2
6,CF-AB1-20160630-0021,1,AB1,2,AB1-NTS,42551,20160630,42536,20160615,42551,20160630,CALL,Investment,-86590000,EUR,1.075642,-93139841,2016 Q2,Settled,AB1-2016Q2
7,CF-AB1-20160630-FEE,1,AB1,,,42551,20160630,42536,20160615,42551,20160630,CALL,Management Fee,-2844000,EUR,1.075642,-3059126,2016 Q2,Settled,AB1-2016Q2
8,CF-AB1-20160930-0022,1,AB1,2,AB1-NTS,42643,20160930,42628,20160915,42643,20160930,CALL,Follow-on Investment,-24423000,EUR,1.072119,-26184362,2016 Q3,Settled,AB1-2016Q3
9,CF-AB1-20160930-EXP,1,AB1,,,42643,20160930,42628,20160915,42643,20160930,CALL,Fund Expense,-406000,EUR,1.072119,-435280,2016 Q3,Settled,AB1-2016Q3
10,CF-AB1-20160930-FEE,1,AB1,,,42643,20160930,42628,20160915,42643,20160930,CALL,Management Fee,-2844000,EUR,1.072119,-3049106,2016 Q3,Settled,AB1-2016Q3
11,CF-AB1-20161231-EXP,1,AB1,,,42735,20161231,42720,20161216,42735,20161231,CALL,Fund Expense,-406000,EUR,1.074557,-436270,2016 Q4,Settled,AB1-2016Q4
12,CF-AB1-20161231-0044,1,AB1,3,AB1-IBP,42735,20161231,42720,20161216,42735,20161231,CALL,Investment,-71113000,EUR,1.074557,-76414972,2016 Q4,Settled,AB1-2016Q4
13,CF-AB1-20161231-FEE,1,AB1,,,42735,20161231,42720,20161216,42735,20161231,CALL,Management Fee,-2844000,EUR,1.074557,-3056040,2016 Q4,Settled,AB1-2016Q4
14,CF-AB1-20170331-0045,1,AB1,3,AB1-IBP,42825,20170331,42810,20170316,42825,20170331,CALL,Follow-on Investment,-20057000,EUR,1.094993,-21962275,2017 Q1,Settled,AB1-2017Q1
15,CF-AB1-20170331-EXP,1,AB1,,,42825,20170331,42810,20170316,42825,20170331,CALL,Fund Expense,-406000,EUR,1.094993,-444567,2017 Q1,Settled,AB1-2017Q1
16,CF-AB1-20170331-FEE,1,AB1,,,42825,20170331,42810,20170316,42825,20170331,CALL,Management Fee,-2844000,EUR,1.094993,-3114160,2017 Q1,Settled,AB1-2017Q1
17,CF-AB1-20170630-EXP,1,AB1,,,42916,20170630,42901,20170615,42916,20170630,CALL,Fund Expense,-406000,EUR,1.109774,-450568,2017 Q2,Settled,AB1-2017Q2
18,CF-AB1-20170630-0069,1,AB1,4,AB1-ATL,42916,20170630,42901,20170615,42916,20170630,CALL,Investment,-51895000,EUR,1.109774,-57591722,2017 Q2,Settled,AB1-2017Q2
19,CF-AB1-20170630-FEE,1,AB1,,,42916,20170630,42901,20170615,42916,20170630,CALL,Management Fee,-2844000,EUR,1.109774,-3156197,2017 Q2,Settled,AB1-2017Q2
20,CF-AB1-20170930-0070,1,AB1,4,AB1-ATL,43008,20170930,42993,20170915,43008,20170930,CALL,Follow-on Investment,-14637000,EUR,1.133935,-16597407,2017 Q3,Settled,AB1-2017Q3
21,CF-AB1-20170930-EXP,1,AB1,,,43008,20170930,42993,20170915,43008,20170930,CALL,Fund Expense,-406000,EUR,1.133935,-460378,2017 Q3,Settled,AB1-2017Q3
22,CF-AB1-20170930-FEE,1,AB1,,,43008,20170930,42993,20170915,43008,20170930,CALL,Management Fee,-2844000,EUR,1.133935,-3224911,2017 Q3,Settled,AB1-2017Q3
23,CF-AB1-20171231-EXP,1,AB1,,,43100,20171231,43085,20171216,43100,20171231,CALL,Fund Expense,-406000,EUR,1.164633,-472841,2017 Q4,Settled,AB1-2017Q4
24,CF-AB1-20171231-0096,1,AB1,5,AB1-BSS,43100,20171231,43085,20171216,43100,20171231,CALL,Investment,-40643000,EUR,1.164633,-47334179,2017 Q4,Settled,AB1-2017Q4
25,CF-AB1-20171231-FEE,1,AB1,,,43100,20171231,43085,20171216,43100,20171231,CALL,Management Fee,-2844000,EUR,1.164633,-3312216,2017 Q4,Settled,AB1-2017Q4
26,CF-AB1-20180331-0097,1,AB1,5,AB1-BSS,43190,20180331,43175,20180316,43190,20180331,CALL,Follow-on Investment,-11464000,EUR,1.155903,-13251272,2018 Q1,Settled,AB1-2018Q1
27,CF-AB1-20180331-EXP,1,AB1,,,43190,20180331,43175,20180316,43190,20180331,CALL,Fund Expense,-406000,EUR,1.155903,-469297,2018 Q1,Settled,AB1-2018Q1
28,CF-AB1-20180331-FEE,1,AB1,,,43190,20180331,43175,20180316,43190,20180331,CALL,Management Fee,-2844000,EUR,1.155903,-3287388,2018 Q1,Settled,AB1-2018Q1
29,CF-AB1-20180630-EXP,1,AB1,,,43281,20180630,43266,20180615,43281,20180630,CALL,Fund Expense,-406000,EUR,1.140469,-463030,2018 Q2,Settled,AB1-2018Q2
30,CF-AB1-20180630-FEE,1,AB1,,,43281,20180630,43266,20180615,43281,20180630,CALL,Management Fee,-2844000,EUR,1.140469,-3243494,2018 Q2,Settled,AB1-2018Q2
