CommitmentID,CommitmentRef,FundID,FundCode,InvestorID,InvestorCode,CommitmentDate,CommitmentDateKey,CommitmentAmount,CommitmentCurrency,FXRateToCHF,CommitmentAmountCHF,CommitmentPctOfFund,ClosingRound,CommitmentStatus,SideLetterFlag,MostFavoredNationFlag,CoInvestmentRightsFlag,FeeTermsBucket,RecordSource
1,COM-0001,1,AB1,1,SPR,42460,20160331,95000000,EUR,1.088111,103370545,0.146153846,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
2,COM-0002,1,AB1,2,NIG,42460,20160331,70000000,EUR,1.088111,76167770,0.107692308,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
3,COM-0003,1,AB1,4,CPP,42460,20160331,100000000,EUR,1.088111,108811100,0.153846154,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
4,COM-0004,1,AB1,6,SPBAM,42460,20160331,40000000,EUR,1.088111,43524440,0.061538462,First Close,Active,No,No,No,Standard,Synthetic
5,COM-0005,1,AB1,11,MCV,42460,20160331,15000000,EUR,1.088111,16321665,0.023076923,First Close,Active,No,No,Yes,GP / Reduced,Synthetic
6,COM-0006,1,AB1,3,GSIA,42643,20160930,120000000,EUR,1.072119,128654280,0.184615385,Final Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
7,COM-0007,1,AB1,5,UKPBF,42643,20160930,30000000,EUR,1.072119,32163570,0.046153846,Final Close,Active,No,No,No,Standard,Synthetic
8,COM-0008,1,AB1,7,AIP,42643,20160930,65000000,EUR,1.072119,69687735,0.1,Final Close,Active,No,No,Yes,Standard,Synthetic
9,COM-0009,1,AB1,8,UUE,42643,20160930,45000000,EUR,1.072119,48245355,0.069230769,Final Close,Active,No,No,Yes,Standard,Synthetic
10,COM-0010,1,AB1,9,EIG,42643,20160930,50000000,EUR,1.072119,53605950,0.076923077,Final Close,Active,No,No,Yes,Standard,Synthetic
11,COM-0011,1,AB1,10,GPCF,42643,20160930,20000000,EUR,1.072119,21442380,0.030769231,Final Close,Active,No,No,No,Standard,Synthetic
12,COM-0012,2,BG2,1,SPR,43555,20190331,45000000,USD,0.98317,44242650,0.1,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
13,COM-0013,2,BG2,2,NIG,43555,20190331,50000000,USD,0.98317,49158500,0.111111111,First Close,Active,No,No,Yes,Standard,Synthetic
14,COM-0014,2,BG2,3,GSIA,43555,20190331,75000000,USD,0.98317,73737750,0.166666667,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
15,COM-0015,2,BG2,4,CPP,43555,20190331,65000000,USD,0.98317,63906050,0.144444444,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
16,COM-0016,2,BG2,6,SPBAM,43555,20190331,35000000,USD,0.98317,34410950,0.077777778,First Close,Active,No,No,No,Standard,Synthetic
17,COM-0017,2,BG2,11,MCV,43555,20190331,10000000,USD,0.98317,9831700,0.022222222,First Close,Active,No,No,Yes,GP / Reduced,Synthetic
18,COM-0018,2,BG2,5,UKPBF,43769,20191031,25000000,USD,0.977356,24433900,0.055555556,Final Close,Active,No,No,No,Standard,Synthetic
19,COM-0019,2,BG2,7,AIP,43769,20191031,60000000,USD,0.977356,58641360,0.133333333,Final Close,Active,No,No,Yes,Standard,Synthetic
20,COM-0020,2,BG2,8,UUE,43769,20191031,40000000,USD,0.977356,39094240,0.088888889,Final Close,Active,No,No,Yes,Standard,Synthetic
21,COM-0021,2,BG2,9,EIG,43769,20191031,35000000,USD,0.977356,34207460,0.077777778,Final Close,Active,No,No,Yes,Standard,Synthetic
22,COM-0022,2,BG2,10,GPCF,43769,20191031,10000000,USD,0.977356,9773560,0.022222222,Final Close,Active,No,No,No,Standard,Synthetic
23,COM-0023,3,GI1,1,SPR,43190,20180331,110000000,USD,0.972944,107023840,0.122222222,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
24,COM-0024,3,GI1,2,NIG,43190,20180331,95000000,USD,0.972944,92429680,0.105555556,First Close,Active,No,No,Yes,Standard,Synthetic
25,COM-0025,3,GI1,3,GSIA,43190,20180331,170000000,USD,0.972944,165400480,0.188888889,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
26,COM-0026,3,GI1,4,CPP,43190,20180331,145000000,USD,0.972944,141076880,0.161111111,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
27,COM-0027,3,GI1,6,SPBAM,43190,20180331,55000000,USD,0.972944,53511920,0.061111111,First Close,Active,No,No,No,Standard,Synthetic
28,COM-0028,3,GI1,11,MCV,43190,20180331,18000000,USD,0.972944,17512992,0.02,First Close,Active,No,No,Yes,GP / Reduced,Synthetic
29,COM-0029,3,GI1,5,UKPBF,43465,20181231,40000000,USD,0.994446,39777840,0.044444444,Final Close,Active,No,No,No,Standard,Synthetic
30,COM-0030,3,GI1,7,AIP,43465,20181231,85000000,USD,0.994446,84527910,0.094444444,Final Close,Active,No,No,Yes,Standard,Synthetic
31,COM-0031,3,GI1,8,UUE,43465,20181231,70000000,USD,0.994446,69611220,0.077777778,Final Close,Active,No,No,Yes,Standard,Synthetic
32,COM-0032,3,GI1,9,EIG,43465,20181231,75000000,USD,0.994446,74583450,0.083333333,Final Close,Active,No,No,Yes,Standard,Synthetic
33,COM-0033,3,GI1,10,GPCF,43465,20181231,37000000,USD,0.994446,36794502,0.041111111,Final Close,Active,No,No,No,Standard,Synthetic
35,COM-0035,4,DDL1,1,SPR,43921,20200331,90000000,EUR,1.090499,98144910,0.15,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
36,COM-0036,4,DDL1,2,NIG,43921,20200331,80000000,EUR,1.090499,87239920,0.133333333,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
37,COM-0037,4,DDL1,3,GSIA,43921,20200331,100000000,EUR,1.090499,109049900,0.166666667,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
38,COM-0038,4,DDL1,4,CPP,43921,20200331,110000000,EUR,1.090499,119954890,0.183333333,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
