DateKey,Date,DayNumber,DayName,DayOfWeekISO,WeekOfYear,Month,MonthName,MonthShort,Quarter,QuarterNum,Year,YearQuarter,YearMonth,MonthStartFlag,MonthEndFlag,QuarterStartFlag,QuarterEndFlag,YearStartFlag,YearEndFlag,IsWeekendFlag
20160101,42370,1,Friday,5,53,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,Yes,No,Yes,No,Yes,No,No
20160102,42371,2,Saturday,6,53,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,Yes
20160103,42372,3,Sunday,7,53,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,Yes
20160104,42373,4,Monday,1,1,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160105,42374,5,Tuesday,2,1,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160106,42375,6,Wednesday,3,1,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160107,42376,7,Thursday,4,1,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160108,42377,8,Friday,5,1,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160109,42378,9,Saturday,6,1,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,Yes
20160110,42379,10,Sunday,7,1,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,Yes
20160111,42380,11,Monday,1,2,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160112,42381,12,Tuesday,2,2,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160113,42382,13,Wednesday,3,2,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160114,42383,14,Thursday,4,2,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160115,42384,15,Friday,5,2,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160116,42385,16,Saturday,6,2,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,Yes
20160117,42386,17,Sunday,7,2,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,Yes
20160118,42387,18,Monday,1,3,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160119,42388,19,Tuesday,2,3,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160120,42389,20,Wednesday,3,3,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160121,42390,21,Thursday,4,3,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160122,42391,22,Friday,5,3,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160123,42392,23,Saturday,6,3,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,Yes
20160124,42393,24,Sunday,7,3,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,Yes
20160125,42394,25,Monday,1,4,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160126,42395,26,Tuesday,2,4,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160127,42396,27,Wednesday,3,4,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160128,42397,28,Thursday,4,4,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160129,42398,29,Friday,5,4,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,No
20160130,42399,30,Saturday,6,4,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,No,No,No,No,No,Yes
20160131,42400,31,Sunday,7,4,1,January,Jan,Q1,1,2016,2016 Q1,2016-01,No,Yes,No,No,No,No,Yes
20160201,42401,1,Monday,1,5,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,Yes,No,No,No,No,No,No
20160202,42402,2,Tuesday,2,5,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
