FXRateID,DateKey,Date,FromCurrency,ToCurrency,FXRateType,FXRate,InverseRate,MonthEndFlag,QuarterEndFlag,SourceNote
1,20160101,42370,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
2,20160102,42371,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
3,20160103,42372,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
4,20160104,42373,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
5,20160105,42374,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
6,20160106,42375,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
7,20160107,42376,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
8,20160108,42377,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
9,20160109,42378,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
10,20160110,42379,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
11,20160111,42380,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
12,20160112,42381,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
13,20160113,42382,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
14,20160114,42383,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
15,20160115,42384,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
16,20160116,42385,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
17,20160117,42386,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
18,20160118,42387,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
19,20160119,42388,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
20,20160120,42389,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
21,20160121,42390,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
22,20160122,42391,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
23,20160123,42392,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
24,20160124,42393,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
25,20160125,42394,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
26,20160126,42395,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
27,20160127,42396,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
28,20160128,42397,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
29,20160129,42398,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
30,20160130,42399,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
31,20160131,42400,CHF,CHF,Spot (Synthetic),1,1,Yes,No,Synthetic platform reporting rates for CHF normalization
32,20160201,42401,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
33,20160202,42402,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
34,20160203,42403,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
35,20160204,42404,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
36,20160205,42405,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
37,20160206,42406,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
38,20160207,42407,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
39,20160208,42408,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
40,20160209,42409,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
41,20160210,42410,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
42,20160211,42411,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
43,20160212,42412,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
44,20160213,42413,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
45,20160214,42414,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
46,20160215,42415,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
47,20160216,42416,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
48,20160217,42417,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
49,20160218,42418,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
50,20160219,42419,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
51,20160220,42420,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
52,20160221,42421,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
53,20160222,42422,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
54,20160223,42423,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
55,20160224,42424,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
56,20160225,42425,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
57,20160226,42426,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
58,20160227,42427,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
59,20160228,42428,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
60,20160229,42429,CHF,CHF,Spot (Synthetic),1,1,Yes,No,Synthetic platform reporting rates for CHF normalization
61,20160301,42430,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
62,20160302,42431,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
63,20160303,42432,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
64,20160304,42433,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
65,20160305,42434,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
66,20160306,42435,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
67,20160307,42436,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
68,20160308,42437,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
69,20160309,42438,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
70,20160310,42439,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
71,20160311,42440,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
72,20160312,42441,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
73,20160313,42442,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
74,20160314,42443,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
75,20160315,42444,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
76,20160316,42445,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
77,20160317,42446,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
78,20160318,42447,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
79,20160319,42448,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
80,20160320,42449,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
81,20160321,42450,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
82,20160322,42451,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
83,20160323,42452,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
84,20160324,42453,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
85,20160325,42454,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
86,20160326,42455,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
87,20160327,42456,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
88,20160328,42457,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
89,20160329,42458,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
90,20160330,42459,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
91,20160331,42460,CHF,CHF,Spot (Synthetic),1,1,Yes,Yes,Synthetic platform reporting rates for CHF normalization
92,20160401,42461,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
93,20160402,42462,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
94,20160403,42463,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
95,20160404,42464,CHF,CHF,Spot (Synthetic),1,1,No,No,Synthetic platform reporting rates for CHF normalization
