InvestorCashflowID,InvestorCashflowRef,CashflowID,CashflowRef,FundID,FundCode,InvestorID,InvestorCode,Date,DateKey,Type,CashflowCategory,Amount,Currency,FXRateToCHF,AmountCHF,CommitmentSharePct,Status,AllocationMethod
1,ICF-000001,1,CF-AB1-20160331-EXP,1,AB1,1,SPR,42460,20160331,CALL,Fund Expense,-120531,EUR,1.088111,-131151,0.296875,Settled,Pro Rata by Eligible Commitment
2,ICF-000002,1,CF-AB1-20160331-EXP,1,AB1,2,NIG,42460,20160331,CALL,Fund Expense,-88813,EUR,1.088111,-96638,0.21875,Settled,Pro Rata by Eligible Commitment
3,ICF-000003,1,CF-AB1-20160331-EXP,1,AB1,4,CPP,42460,20160331,CALL,Fund Expense,-126875,EUR,1.088111,-138054,0.3125,Settled,Pro Rata by Eligible Commitment
4,ICF-000004,1,CF-AB1-20160331-EXP,1,AB1,6,SPBAM,42460,20160331,CALL,Fund Expense,-50750,EUR,1.088111,-55222,0.125,Settled,Pro Rata by Eligible Commitment
5,ICF-000005,1,CF-AB1-20160331-EXP,1,AB1,11,MCV,42460,20160331,CALL,Fund Expense,-19031,EUR,1.088111,-20708,0.046875,Settled,Pro Rata by Eligible Commitment
6,ICF-000006,2,CF-AB1-20160331-0001,1,AB1,1,SPR,42460,20160331,CALL,Investment,-28692078,EUR,1.088111,-31220166,0.296875,Settled,Pro Rata by Eligible Commitment
7,ICF-000007,2,CF-AB1-20160331-0001,1,AB1,2,NIG,42460,20160331,CALL,Investment,-21141531,EUR,1.088111,-23004333,0.21875,Settled,Pro Rata by Eligible Commitment
8,ICF-000008,2,CF-AB1-20160331-0001,1,AB1,4,CPP,42460,20160331,CALL,Investment,-30202188,EUR,1.088111,-32863332,0.3125,Settled,Pro Rata by Eligible Commitment
9,ICF-000009,2,CF-AB1-20160331-0001,1,AB1,6,SPBAM,42460,20160331,CALL,Investment,-12080875,EUR,1.088111,-13145333,0.125,Settled,Pro Rata by Eligible Commitment
10,ICF-000010,2,CF-AB1-20160331-0001,1,AB1,11,MCV,42460,20160331,CALL,Investment,-4530328,EUR,1.088111,-4929500,0.046875,Settled,Pro Rata by Eligible Commitment
11,ICF-000011,3,CF-AB1-20160331-FEE,1,AB1,1,SPR,42460,20160331,CALL,Management Fee,-844313,EUR,1.088111,-918706,0.296875,Settled,Pro Rata by Eligible Commitment
12,ICF-000012,3,CF-AB1-20160331-FEE,1,AB1,2,NIG,42460,20160331,CALL,Management Fee,-622125,EUR,1.088111,-676941,0.21875,Settled,Pro Rata by Eligible Commitment
13,ICF-000013,3,CF-AB1-20160331-FEE,1,AB1,4,CPP,42460,20160331,CALL,Management Fee,-888750,EUR,1.088111,-967059,0.3125,Settled,Pro Rata by Eligible Commitment
