NAVID,FundID,FundCode,ValuationDate,ValuationDateKey,QuarterEnd,NAV,Currency,FXRateToCHF,NAVCHF,UnfundedCommitment,UnfundedCommitmentCHF,ValuationStatus,QuarterSequence
1,1,AB1,42460,20160331,2016 Q1,92781000,EUR,1.088111,100956027,550103000,598573125,Final,1
2,1,AB1,42551,20160630,2016 Q2,202077000,EUR,1.075642,217362508,433004000,465757289,Final,2
3,1,AB1,42643,20160930,2016 Q3,235363000,EUR,1.072119,252337144,405331000,434563066,Final,3
4,1,AB1,42735,20161231,2016 Q4,320098000,EUR,1.074557,343963547,330968000,355643981,Final,4
5,1,AB1,42825,20170331,2017 Q1,353597000,EUR,1.094993,387186240,307661000,336886641,Final,5
6,1,AB1,42916,20170630,2017 Q2,424403000,EUR,1.109774,470991415,252516000,280235691,Final,6
7,1,AB1,43008,20170930,2017 Q3,457618000,EUR,1.133935,518909067,234629000,266054035,Final,7
8,1,AB1,43100,20171231,2017 Q4,520317000,EUR,1.164633,605978349,190736000,222137440,Final,8
9,1,AB1,43190,20180331,2018 Q1,553672000,EUR,1.155903,639991126,176022000,203464358,Final,9
10,1,AB1,43281,20180630,2018 Q2,579679000,EUR,1.140469,661105929,172772000,197041110,Final,10
11,1,AB1,43373,20180930,2018 Q3,663203000,EUR,1.134509,752409772,108524000,123121455,Final,11
12,1,AB1,43465,20181231,2018 Q4,704684000,EUR,1.134837,799701477,88070000,99945095,Final,12
13,1,AB1,43555,20190331,2019 Q1,736462000,EUR,1.123374,827322263,84820000,95284583,Final,13
14,1,AB1,43646,20190630,2019 Q2,766676000,EUR,1.105682,847699853,81570000,90190481,Final,14
15,1,AB1,43738,20190930,2019 Q3,796890000,EUR,1.09716,874315832,78320000,85929571,Final,15
16,1,AB1,43830,20191231,2019 Q4,803038000,EUR,1.094696,879082486,75070000,82178829,Final,16
17,1,AB1,43921,20200331,2020 Q1,809185000,EUR,1.090499,882415433,71820000,78319638,Final,17
18,1,AB1,44012,20200630,2020 Q2,794774000,EUR,1.080515,858765229,68570000,74090914,Final,18
19,1,AB1,44104,20200930,2020 Q3,780359000,EUR,1.079636,842503669,65320000,70521824,Final,19
20,1,AB1,44196,20201231,2020 Q4,765948000,EUR,1.084621,830763286,62070000,67322425,Final,20
21,1,AB1,44286,20210331,2021 Q1,736424000,EUR,1.073157,790298571,60128000,64526784,Final,21
22,1,AB1,44377,20210630,2021 Q2,706902000,EUR,1.055838,746373994,58235000,61486726,Final,22
23,1,AB1,44469,20210930,2021 Q3,677377000,EUR,1.047374,709467058,56391000,59062467,Final,23
24,1,AB1,44561,20211231,2021 Q4,639855000,EUR,1.044533,668349663,54596000,57027324,Final,24
25,1,AB1,44651,20220331,2022 Q1,597147000,EUR,1.030603,615421490,52849000,54466338,Final,25
26,1,AB1,44742,20220630,2022 Q2,554438000,EUR,1.011094,560588935,51151000,51718469,Final,26
27,1,AB1,44834,20220930,2022 Q3,504290000,EUR,1.000049,504314710,49502000,49504426,Final,27
28,1,AB1,44926,20221231,2022 Q4,454142000,EUR,0.994348,451575189,47902000,47631258,Final,28
29,1,AB1,45016,20230331,2023 Q1,420698000,EUR,0.982912,413509113,46350000,45557971,Final,29
30,1,AB1,45107,20230630,2023 Q2,387255000,EUR,0.966214,374171203,44847000,43331799,Final,30
31,1,AB1,45199,20230930,2023 Q3,353809000,EUR,0.957615,338812806,43393000,41553788,Final,31
32,1,AB1,45291,20231231,2023 Q4,320365000,EUR,0.954151,305676585,41988000,40062892,Final,32
33,1,AB1,45382,20240331,2024 Q1,300598000,EUR,0.950049,285582829,40631000,38601441,Final,33
34,1,AB1,45473,20240630,2024 Q2,280829000,EUR,0.941057,264276096,39323000,37005184,Final,34
35,1,AB1,45565,20240930,2024 Q3,261061000,EUR,0.940081,245418486,38064000,35783243,Final,35
36,1,AB1,45657,20241231,2024 Q4,241293000,EUR,0.944067,227796759,36854000,34792645,Final,36
37,1,AB1,45747,20250331,2025 Q1,231720000,EUR,0.940037,217825374,35692000,33551801,Final,37
38,1,AB1,45838,20250630,2025 Q2,222147000,EUR,0.931099,206840850,34579000,32196472,Final,38
39,1,AB1,45930,20250930,2025 Q3,212573000,EUR,0.930093,197712659,33515000,31172067,Final,39
40,1,AB1,46022,20251231,2025 Q4,202999000,EUR,0.933997,189600457,32500000,30354902,Final,40
41,2,BG2,43555,20190331,2019 Q1,44206000,USD,0.98317,43462013,401477000,394720142,Final,1
42,2,BG2,43646,20190630,2019 Q2,62626000,USD,0.97563,61099804,379815000,370558908,Final,2
43,2,BG2,43738,20190930,2019 Q3,108043000,USD,0.977067,105565250,330030000,322461422,Final,3
44,2,BG2,43830,20191231,2019 Q4,130085000,USD,0.974465,126763280,312639000,304655763,Final,4
45,2,BG2,43921,20200331,2020 Q1,169425000,USD,0.948369,160677418,275630000,261398947,Final,5
46,2,BG2,44012,20200630,2020 Q2,191148000,USD,0.92619,177039366,262495000,243120244,Final,6
47,2,BG2,44104,20200930,2020 Q3,225177000,USD,0.91224,205415466,235299000,214649160,Final,7
48,2,BG2,44196,20201231,2020 Q4,247226000,USD,0.894233,221077648,225189000,201371435,Final,8
49,2,BG2,44286,20210331,2021 Q1,265493000,USD,0.895466,237739955,218133000,195330685,Final,9
50,2,BG2,44377,20210630,2021 Q2,316328000,USD,0.900665,284905558,180706000,162755569,Final,10
51,2,BG2,44469,20210930,2021 Q3,346978000,USD,0.914272,317232270,163668000,149637070,Final,11
52,2,BG2,44561,20211231,2021 Q4,372038000,USD,0.924067,343788039,152455000,140878634,Final,12
53,2,BG2,44651,20220331,2022 Q1,438745000,USD,0.920537,403881006,107998000,99416155,Final,13
54,2,BG2,44742,20220630,2022 Q2,480776000,USD,0.92071,442655271,88031000,81051022,Final,14
55,2,BG2,44834,20220930,2022 Q3,516091000,USD,0.9294,479654975,75060000,69760764,Final,15
56,2,BG2,44926,20221231,2022 Q4,538542000,USD,0.934167,503088165,72585000,67806512,Final,16
57,2,BG2,45016,20230331,2023 Q1,550728000,USD,0.91105,501740744,70110000,63873716,Final,17
58,2,BG2,45107,20230630,2023 Q2,556870000,USD,0.891392,496389463,67635000,60289298,Final,18
59,2,BG2,45199,20230930,2023 Q3,559097000,USD,0.879679,491825890,65160000,57319884,Final,19
